precinct,registered_voters,baker_electionDay,baker_Mail,baker_Provisional,baker_Total,cates_electionDay,cates_Mail,cates_Provisional,cates_Total,congemi_electionDay,congemi_Mail,congemi_Provisional,congemi_Total,kriseman_electionDay,kriseman_Mail,kriseman_Provisional,kriseman_Total,lassiter_electionDay,lassiter_mail,lassiter_provisional,lassiter_total,nevel_electionDay,nevel_mail,nevel_provisional,nevel_total,total,kriseman_margin,baker_margin,kriseman_share,baker_share,didNotVote,didNotVotePct,thirdParty,thirdPartyPct,turnout,regDem,regRep,regNPA,regOther,regDemPct,regRepPct,regNPAOtherPct
101,3646,165,299,0,464,8,6,0,14,0,0,0,0,219,381,0,600,5,12,0,17,18,12,0,30,1125,136,-136,0.1645639057,0.1272627537,2521,0.6914426769,61,0.01673066374,0.3085573231,2326,527,779,14,0.6379594076,0.1445419638,0.2174986286
102,1768,94,165,0,259,1,3,0,4,0,0,0,0,132,190,0,322,4,4,0,8,7,8,0,15,608,63,-63,0.1821266968,0.1464932127,1160,0.6561085973,27,0.01527149321,0.3438914027,1162,242,351,13,0.657239819,0.1368778281,0.2058823529
103,691,42,107,0,149,1,2,0,3,0,1,0,1,75,140,0,215,0,1,0,1,2,3,0,5,374,66,-66,0.3111432706,0.2156295224,317,0.4587554269,10,0.01447178003,0.5412445731,323,209,150,9,0.4674384949,0.3024602026,0.2301013025
104,1700,82,175,0,257,8,4,0,12,1,0,0,1,172,200,0,372,7,5,0,12,4,5,0,9,663,115,-115,0.2188235294,0.1511764706,1037,0.61,34,0.02,0.39,1193,170,330,7,0.7017647059,0.1,0.1982352941
105,3529,145,333,0,478,3,8,0,11,0,5,0,5,201,422,0,623,3,10,0,13,14,13,0,27,1157,145,-145,0.1765372627,0.1354491357,2372,0.6721450836,56,0.01586851799,0.3278549164,2492,378,651,8,0.7061490507,0.1071124965,0.1867384528
106,769,45,138,0,183,0,1,0,1,0,0,0,0,64,188,0,252,0,0,0,0,1,1,0,2,438,69,-69,0.3276983095,0.2379713914,331,0.4304291287,3,0.003901170351,0.5695708713,368,240,155,6,0.4785435631,0.3120936281,0.2093628088
107,1842,75,235,0,310,2,5,0,7,0,1,0,1,95,249,0,344,2,1,0,3,4,6,0,10,675,34,-34,0.1867535288,0.1682953312,1167,0.6335504886,21,0.01140065147,0.3664495114,893,491,446,12,0.4847991314,0.266558089,0.2486427796
108,2736,169,221,0,390,3,9,0,12,1,2,0,3,208,236,0,444,5,6,0,11,14,16,0,30,890,54,-54,0.1622807018,0.1425438596,1846,0.6747076023,56,0.02046783626,0.3252923977,1425,624,678,9,0.5208333333,0.2280701754,0.2510964912
109,2210,120,212,0,332,6,7,0,13,0,3,0,3,113,198,0,311,0,7,0,7,15,20,0,35,701,-21,21,0.1407239819,0.1502262443,1509,0.6828054299,58,0.02624434389,0.3171945701,1501,252,450,7,0.6791855204,0.1140271493,0.2067873303
110,278,9,30,0,39,1,1,0,2,0,2,0,2,19,59,0,78,3,0,0,3,0,1,0,1,125,39,-39,0.2805755396,0.1402877698,153,0.5503597122,8,0.02877697842,0.4496402878,157,56,63,2,0.5647482014,0.2014388489,0.2338129496
111,546,27,92,0,119,0,1,0,1,0,0,0,0,33,97,0,130,0,2,0,2,1,2,0,3,255,11,-11,0.2380952381,0.2179487179,291,0.532967033,6,0.01098901099,0.467032967,318,117,111,0,0.5824175824,0.2142857143,0.2032967033
112,1302,91,151,0,242,4,2,0,6,0,0,0,0,105,193,0,298,3,5,0,8,3,6,0,9,563,56,-56,0.2288786482,0.1858678955,739,0.5675883257,23,0.01766513057,0.4324116743,933,169,196,4,0.7165898618,0.1298003072,0.153609831
113,1525,101,156,0,257,3,3,0,6,0,0,0,0,66,103,0,169,5,8,0,13,15,8,0,23,468,-88,88,0.1108196721,0.1685245902,1057,0.6931147541,42,0.02754098361,0.3068852459,1253,56,214,2,0.8216393443,0.03672131148,0.1416393443
114,1297,73,125,0,198,11,3,0,14,0,1,0,1,43,101,0,144,4,5,0,9,8,4,0,12,378,-54,54,0.1110254433,0.1526599846,919,0.7085582113,36,0.02775636083,0.2914417887,1087,47,162,1,0.8380878951,0.03623747109,0.1256746338
115,1352,78,129,0,207,5,1,0,6,1,0,0,1,60,95,0,155,8,5,0,13,18,3,0,21,403,-52,52,0.1146449704,0.1531065089,949,0.7019230769,41,0.03032544379,0.2980769231,1090,55,206,1,0.8062130178,0.04068047337,0.1531065089
116,1556,49,115,0,164,3,4,0,7,0,0,0,0,93,120,0,213,0,8,0,8,17,13,0,30,422,49,-49,0.1368894602,0.1053984576,1134,0.7287917738,45,0.02892030848,0.2712082262,1136,112,300,8,0.7300771208,0.07197943445,0.1979434447
117,1261,48,89,0,137,5,3,0,8,0,0,0,0,40,52,0,92,4,4,0,8,12,6,0,18,263,-45,45,0.07295796987,0.1086439334,998,0.7914353688,34,0.02696272799,0.2085646312,973,63,223,2,0.7716098335,0.04996034893,0.1784298176
118,1304,58,79,0,137,0,1,0,1,0,1,0,1,207,188,0,395,2,2,0,4,7,5,0,12,550,258,-258,0.3029141104,0.1050613497,754,0.5782208589,18,0.01380368098,0.4217791411,684,248,350,22,0.5245398773,0.1901840491,0.2852760736
119,2707,71,191,0,262,10,5,0,15,1,1,0,2,94,154,0,248,6,4,0,10,16,33,0,49,586,-14,14,0.09161433321,0.09678611008,2121,0.7835241965,76,0.02807536018,0.2164758035,2026,144,531,6,0.7484299963,0.05319541928,0.1983745844
120,3010,104,258,0,362,7,12,0,19,1,0,0,1,126,180,0,306,1,17,0,18,25,21,0,46,752,-56,56,0.1016611296,0.1202657807,2258,0.750166113,84,0.02790697674,0.249833887,2314,152,534,10,0.7687707641,0.05049833887,0.180730897
121,703,9,21,0,30,1,0,0,1,0,0,0,0,34,50,0,84,1,0,0,1,2,3,0,5,121,54,-54,0.119487909,0.0426742532,582,0.8278805121,7,0.009957325747,0.1721194879,301,148,247,7,0.4281650071,0.2105263158,0.3613086771
122,266,7,3,0,10,0,0,0,0,0,0,0,0,9,11,0,20,0,0,0,0,0,0,0,0,30,10,-10,0.07518796992,0.03759398496,236,0.8872180451,0,0,0.1127819549,102,69,92,3,0.3834586466,0.2593984962,0.3571428571
123,3535,93,381,0,474,0,1,0,1,0,3,0,3,221,629,0,850,1,9,0,10,9,18,0,27,1365,376,-376,0.2404526167,0.1340876945,2170,0.6138613861,41,0.01159830269,0.3861386139,1511,1032,955,37,0.4274398868,0.2919377652,0.2806223479
125,1581,49,121,0,170,3,2,0,5,0,0,0,0,124,207,0,331,1,5,0,6,6,11,0,17,529,161,-161,0.2093611638,0.1075268817,1052,0.6654016445,28,0.01771030993,0.3345983555,815,305,443,18,0.5154965212,0.192915876,0.2915876028
126,792,27,65,0,92,1,1,0,2,0,2,0,2,41,63,0,104,1,1,0,2,10,9,0,19,221,12,-12,0.1313131313,0.1161616162,571,0.720959596,25,0.03156565657,0.279040404,527,92,167,6,0.6654040404,0.1161616162,0.2184343434
127,1775,49,94,0,143,1,1,0,2,0,0,0,0,291,304,0,595,2,0,0,2,5,11,0,16,758,452,-452,0.3352112676,0.08056338028,1017,0.5729577465,20,0.01126760563,0.4270422535,977,327,446,25,0.5504225352,0.1842253521,0.2653521127
